01 | 系统设计说明 | cover | 人生管理系统 4.0
02 | 阅读地图 | table | 先看整体，再理解每一层
03 | 01 设计基础 | columns | 每个决定都在占用共同资源
04 | 01 设计基础 | three | 目标是让选择有依据、能落实
05 | 01 设计基础 | table | 三类理论提供不同的启发
06 | 01 设计基础 | columns | 整体设计必须管理接口
07 | 01 设计基础 | table | 观测指标只是状态的线索
08 | 01 设计基础 | three | 反馈需要等待结果显现
09 | 02 总控架构 | diagram | 一套架构承载四种不同职责
10 | 02 总控架构 | table | 领域、能力、阶段不能混为一谈
11 | 02 总控架构 | columns | 用户价值位于总控之上
12 | 02 总控架构 | columns | 总控先维护目标与状态
13 | 02 总控架构 | columns | 总控检查影响与资源组合
14 | 02 总控架构 | columns | 总控编排决策并协调执行
15 | 02 总控架构 | columns | 总控保留反馈与可追溯记录
16 | 02 总控架构 | formula | 共同资源账先做可行性检查
17 | 02 总控架构 | columns | 共享价值不意味着重复投入
18 | 02 总控架构 | table | 跨领域事项需要统一接口
19 | 03 九个人生领域 | table | 九个领域按生活结果划分
20 | 03 九个人生领域 | domain | D01 身体健康与恢复
21 | 03 九个人生领域 | domain | D02 心理状态与自我调节
22 | 03 九个人生领域 | domain | D03 关系、家庭与照护
23 | 03 九个人生领域 | domain | D04 职业、劳动与价值创造
24 | 03 九个人生领域 | domain | D05 学习、能力与探索
25 | 03 九个人生领域 | domain | D06 财务、资产与保障
26 | 03 九个人生领域 | domain | D07 居住、日常与基础设施
27 | 03 九个人生领域 | domain | D08 社群、公共参与与生态责任
28 | 03 九个人生领域 | domain | D09 休闲、审美与生命体验
29 | 03 九个人生领域 | columns | 跨领域冲突由总控处理
30 | 04 八阶段决策 | diagram | 八个阶段围绕产物推进
31 | 04 八阶段决策 | columns | S1 定义问题
32 | 04 八阶段决策 | columns | S2 建立事实
33 | 04 八阶段决策 | columns | S3 生成方案
34 | 04 八阶段决策 | columns | S4 约束与比较
35 | 04 八阶段决策 | columns | S5 反驳与复核
36 | 04 八阶段决策 | columns | S6 建议与取舍
37 | 04 八阶段决策 | columns | S7 授权执行
38 | 04 八阶段决策 | columns | S8 反馈更新
39 | 04 八阶段决策 | table | 比较方法取决于证据条件
40 | 04 八阶段决策 | table | 三个状态必须分别记录
41 | 04 八阶段决策 | three | 条件变化后，旧结论可能失效
42 | 04 八阶段决策 | columns | 补证与复核也要有终点
43 | 05 共享能力模块 | table | 23个模块按主要用途分组
44 | 05 共享能力模块 | module | M01 逻辑、认识论与科学方法
45 | 05 共享能力模块 | module | M02 基础数学
46 | 05 共享能力模块 | module | M03 概率论与统计学
47 | 05 共享能力模块 | module | M04 因果推断与实验设计
48 | 05 共享能力模块 | module | M05 决策理论
49 | 05 共享能力模块 | module | M06 运筹学
50 | 05 共享能力模块 | module | M07 博弈论
51 | 05 共享能力模块 | module | M08 微观经济学与宏观经济学
52 | 05 共享能力模块 | module | M09 马克思主义政治经济学
53 | 05 共享能力模块 | module | M10 心理学与行为科学
54 | 05 共享能力模块 | module | M11 社会学、政治学、制度分析与组织行为
55 | 05 共享能力模块 | module | M12 历史与思想史
56 | 05 共享能力模块 | module | M13 毛泽东思想中的调查研究、实践与矛盾分析
57 | 05 共享能力模块 | module | M14 系统科学、控制论与钱学森系统工程
58 | 05 共享能力模块 | module | M15 计算机、数据处理与信息安全
59 | 05 共享能力模块 | module | M16 机器学习、大模型与自动化
60 | 05 共享能力模块 | module | M17 语言表达、沟通与谈判
61 | 05 共享能力模块 | module | M18 管理与执行
62 | 05 共享能力模块 | module | M19 个人财务
63 | 05 共享能力模块 | module | M20 法律基础
64 | 05 共享能力模块 | module | M21 健康基础
65 | 05 共享能力模块 | module | M22 英语与原始资料检索
66 | 05 共享能力模块 | module | M23 文学、艺术、音乐、美学与伦理
67 | 05 共享能力模块 | table | 知识沿流程反复进入：前四步
68 | 05 共享能力模块 | table | 知识沿流程反复进入：后四步
69 | 06 协作与复核 | three | 派工由具体问题和产物决定
70 | 06 协作与复核 | table | 协作契约让任务可检查
71 | 06 协作与复核 | columns | R01负责发现错误与遗漏
72 | 07 数据与主动服务 | table | 个人状态需要跨次运行保存
73 | 07 数据与主动服务 | table | 每个数据入口都要标明覆盖范围
74 | 07 数据与主动服务 | proactive | 主动服务由真实触发开始
75 | 07 数据与主动服务 | proactive | 主动读取保留数据来源与边界
76 | 07 数据与主动服务 | proactive | 主动提问只补关键缺口
77 | 07 数据与主动服务 | proactive | 主动建议需要具体且少打扰
78 | 07 数据与主动服务 | proactive | 选择、授权与效果持续核对
79 | 07 数据与主动服务 | three | 失败重试不能重复行动或通知
80 | 08 产品实现与验证 | table | 用户看到的是下一步和取舍
81 | 08 产品实现与验证 | diagram | 主动产品需要四类基础设施
82 | 08 产品实现与验证 | three | 先跑通一个最小闭环
83 | 09 贯穿案例 | columns | 案例起点：项目与学习如何并行
84 | 09 贯穿案例 | table | 原组合超出时间上限
85 | 09 贯穿案例 | columns | 数量可行的组合仍需补证与取舍
86 | 09 贯穿案例 | columns | 反馈先核实发生了什么
87 | 10 验证与推进 | table | 验证分为系统正确与生活有用
88 | 10 验证与推进 | three | 实施顺序由验证结果推进
89 | 参考资料 | sources | 理论参考与应用边界
90 | 参考资料 | table | 现有设计文件构成系统说明依据
91 | 系统设计说明 | closing | 让下一步更清楚，让修正有依据
